Dimension,Mean Test Accuracy,Max Test Accuracy,Mean Epoch Time,Mean Total Time
baseline,86.27,86.27,8.186427640914918,44.555349826812744
batch_size,83.935,87.01,7.554278767108917,41.07341969013214
conv_filters,86.1325,87.49,11.888784456253052,63.07076871395111
dropout_rate,85.85666666666667,85.92,12.27411632537842,64.91180523236592
